createdAt	income	experience	mode	hasEquity	companySize	companyLife	hasMonetaryBenefits	vacationDays	monetaryBenefitValue	gender	eductation	age	kids
2/26/2015 11:40:15	50000	Senior	Employed, unlimited contract	Yes	up to 500	5-10 years	Yes	24	2000	Male	Self-taught, High-school	27	2 children
2/26/2015 11:41:03	150000	Senior	Freelance	No	up to 10	more than 10 years	No	None, I work freelance		Male	Academic	40	2 children
2/26/2015 11:41:11	80000	Senior	Freelance	Yes	up to 10	2-4 years	No	None, I work freelance		Male	Self-taught	35	No kids
2/26/2015 11:42:17	68000	Senior	Freelance	No	up to 50	2-4 years	No	None, I work freelance		Male	Self-taught	29	No kids
2/26/2015 11:43:05	60000	Senior	Employed, unlimited contract	No	up to 50	2-4 years	No	As many as I need		Male	Academic	28	No kids
2/26/2015 11:43:24	42000	Senior	Employed, unlimited contract	Yes	up to 500	5-10 years	Yes	26	2000	Male	Self-taught, Academic, High-school	42	2 children
2/26/2015 11:43:42	53000	Senior	Employed, unlimited contract	No	up to 10	5-10 years	Yes	None, I work freelance	2000	Male	Self-taught, Academic	31	1 child
2/26/2015 11:43:36	51000	Senior	Employed, limited contract	Yes	up to 10	0-1 year	Yes	25	1500	Male	Academic	30	No kids
2/26/2015 11:44:21	65000	Senior	Freelance	No	up to 50	2-4 years	No	Freelance - but I'll take around 25 days		Male	Self-taught, Academic, High-school	34	No kids
2/26/2015 11:47:42	52000	Senior	Employed, unlimited contract	No	up to 50	more than 10 years	Yes	26	1000	Male	Self-taught, Academic	31	No kids
2/26/2015 11:49:43	70000	Senior	Freelance	No	more than 500	more than 10 years	No	As many as I need, I work freelance		Male	Academic	35	2 children
2/26/2015 11:50:16	33000	Junior	Employed, unlimited contract	No	up to 50	5-10 years	Yes	24	1400	Male	Academic	25	No kids
2/26/2015 11:50:18	60000	Senior	Freelance	No	up to 10	5-10 years	No	As many as I need		Male	Academic	40	No kids
2/26/2015 11:50:19	145000	Senior	Freelance	No	up to 10	1-2 years	No	None, I work freelance		Male	High-school	40	No kids
2/26/2015 11:51:20	34000	Junior	Freelance	No	up to 50	2-4 years	No	None, I work freelance		Male	Self-taught	22	No kids
2/26/2015 11:54:06	50000	Senior	Employed, unlimited contract	Yes	up to 500	2-4 years	No	24		Male	Academic	28	No kids
2/26/2015 11:54:42	70000	Senior	Employed, unlimited contract	Yes	up to 500	5-10 years	Yes	25	12000	Male	Self-taught, Academic	29	No kids
2/26/2015 11:55:21	75000	Senior	Employed, unlimited contract	No	up to 250	more than 10 years	Yes	30	8000	Male	Academic	45	1 child
2/26/2015 11:56:07	51000	Senior	Employed, unlimited contract	No	up to 10	5-10 years	Yes	30	1100	Male	Self-taught, Academic	30	No kids
2/26/2015 11:58:47	45000	Senior	Employed, unlimited contract	Yes	up to 50	0-1 year	No	24		Male	Academic	28	No kids
2/26/2015 12:00:21	40500	Junior	Employed, unlimited contract	No	up to 10	1-2 years	Yes	25	954	Male	Academic	26	No kids
2/26/2015 12:00:43	52000	Senior	Freelance	No	up to 50	2-4 years	Yes	None, I work freelance		Male	Self-taught	35	No kids
2/26/2015 12:04:43	65000	Senior	Freelance	No	up to 50	5-10 years	No	None, I work freelance		Male	Academic	32	No kids
2/26/2015 12:05:03	68000	Senior	Employed, unlimited contract	Yes	up to 500	5-10 years	Yes	26	2000	Male	Self-taught, Academic	42	2 children
2/26/2015 12:07:51	90000	Senior	Freelance	No	up to 10	1-2 years	No	None, I work freelance		Male	Self-taught, High-school	42	No kids
2/26/2015 12:10:47	46000	Senior	Freelance	No	more than 500	more than 10 years	No	None, I work freelance		Male	Academic	35	1 child
2/26/2015 12:11:06	80000	Senior	Employed, unlimited contract	Yes	more than 500	more than 10 years	Yes	28	30000	Male	Academic	36	2 children
2/26/2015 12:14:16	70000	Senior	Employed, unlimited contract	Yes	up to 250	5-10 years	Yes	20	1000	Male	Academic	32	No kids
2/26/2015 12:18:27	105000	Senior	Employed, unlimited contract	Yes	up to 10	2-4 years	No	As many as I need		Male	Self-taught, High-school	32	1 child
